movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Pirates of the Caribbean: On Stranger…;May;2011;Adventure;241063875;256263359
Winnie the Pooh;July;2011;Adventure;26692846;28375869
I am Number Four;February;2011;Adventure;55100437;58574607
War Horse;December;2011;Drama;79883359;84762149
Real Steel;October;2011;Action;85463309;90848019
The Muppets;November;2011;Comedy;88625922;94189503
Gnomeo and Juliet;February;2011;Comedy;99967670;106270797
People Like Us;June;2012;Drama;12431792;13165822
Lincoln;November;2012;Drama;182207973;192122330
Wreck-It Ralph;November;2012;Adventure;189412677;200354959
The Secret World of Arietty;February;2012;Adventure;19192510;20325733
Brave;June;2012;Adventure;237282182;251292441
Chimpanzee;April;2012;Documentary;28965459;30675725
Frankenweenie;October;2012;Comedy;35287788;37363513
The Odd Life of Timothy Green;August;2012;Drama;51853450;54914942
The Avengers;May;2012;Action;623279547;660081224
John Carter;March;2012;Adventure;73058679;77372445
Thor: The Dark World;November;2013;Adventure;206362140;213962184
Oz the Great and Powerful;March;2013;Adventure;234770996;243434130
Monsters University;June;2013;Adventure;268488329;278395641
The Fifth Estate;October;2013;Drama;3254172;3374251
Delivery Man;November;2013;Comedy;30659817;31787136
Frozen;November;2013;Adventure;400738009;414997174
Iron Man 3;May;2013;Action;408992272;424084233
Kaze Tachinu;November;2013;Drama;5201879;5367415
Saving Mr. Banks;December;2013;Drama;83299761;86249969
The Lone Ranger;July;2013;Western;89302115;92597388
Disney Planes;August;2013;Comedy;90282580;93614037
Into the Woods;December;2014;Musical;128002372;130894237
Bears;April;2014;Documentary;17780194;18346024
Big Hero 6;November;2014;Adventure;222527828;229249222
Maleficent;May;2014;Adventure;241407328;249089809
Captain America: The Winter Soldier;April;2014;Action;259746958;268013076
Guardians of the Galaxy;August;2014;Adventure;333172112;343771168
Million Dollar Arm;May;2014;Drama;36447959;37607865
Need for Speed;March;2014;Action;43568507;44955015
Muppets Most Wanted;March;2014;Comedy;51178893;52807594
The Hundred-Foot Journey;August;2014;Romantic Comedy;54235441;55961409
Planes: Fire and Rescue;July;2014;Adventure;59157732;61040349
Alexander and the Terrible Horrible…;October;2014;Comedy;66954149;69055550
Strange Magic;January ;2015;Adventure;12429583;12429583
The Good Dinosaur;November;2015;Adventure;123087120;123087120
Monkey Kingdom;April;2015;Documentary;16432322;16432322
Ant-Man;July;2015;Action;180202163;180202163
Cinderella;March;2015;Drama;201151353;201151353
Inside Out;June;2015;Adventure;356461711;356461711
McFarland USA;February;2015;Drama;44480275;44480275
Avengers: Age of Ultron;May;2015;Action;459005868;459005868
Bridge of Spies;October;2015;Thriller/Suspense;72313754;72313754
Tomorrowland;May;2015;Adventure;93436322;93436322
Star Wars Ep. VII: The Force Awakens;December;2015;Adventure;936662225;936662225
The Light Between Oceans;September;2016;Drama;12545979;12545979
Doctor Strange;November;2016;Adventure;232532923;232532923
Moana;November;2016;Adventure;246082029;246082029
The Finest Hours;January ;2016;Thriller/Suspense;27569558;27569558
Zootopia;March;2016;Adventure;341268248;341268248
The Jungle Book;April;2016;Adventure;364001123;364001123
Captain America: Civil War;May;2016;Action;408084349;408084349
Finding Dory;June;2016;Adventure;486295561;486295561
Rogue One: A Star Wars Story;December;2016;Adventure;529483936;529483936
The BFG;July;2016;Adventure;55483770;55483770
A Beautiful Planet;April;2016;Documentary;7895708;7895708
Pete’s Dragon;August;2016;Adventure;76233151;76233151
Alice Through the Looking Glass;May;2016;Adventure;77042381;77042381
Queen of Katwe;September;2016;Drama;8874389;8874389
