movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Newsies;April;1992;;2706352;5497481
Blame it on the Bellboy;March;1992;Comedy;2891055;5872667
Straight Talk;April;1992;Comedy;21202099;43068356
Consenting Adults;October;1992;Drama;21591728;43859823
Aladdin;November;1992;Comedy;217350219;441969178
Captain Ron;September;1992;Comedy;22518097;45741576
The Muppet Christmas Carol;December;1992;Comedy;27281507;55417615
3 Ninjas;August;1992;Action;29028000;58965304
A Gun in Betty Lou's Handbag;August;1992;;3591460;7295423
Passed Away;April;1992;;4030793;8187848
Innocent Blood;September;1992;Horror;4877567;9907922
Encino Man;May;1992;Comedy;40057130;81369058
Medicine Man;February;1992;Drama;44948240;91304495
The Distinguished Gentleman;December;1992;Comedy;46434570;94349900
The Mighty Ducks;October;1992;Comedy;50752337;103120810
Honey I Blew Up the Kid;July;1992;Comedy;58662452;119162518
1492: Conquest of Paradise;October;1992;Adventure;7099531;14421454
Sarafina!;September;1992;Drama;7306242;14841352
The Hand That Rocks the Cradle;January ;1992;Thriller/Suspense;88036683;178831137
Money for Nothing;September;1993;Comedy;1044824;2127496
Life With Mikey;June;1993;Comedy;12349549;25146538
A Far Off Place;March;1993;Adventure;12890752;26248558
Indian Summer;April;1993;Comedy;14717851;29968953
Born Yesterday;March;1993;Romantic Comedy;17760754;36165012
Another Stakeout;July;1993;Comedy;20107504;40943541
Super Mario Bros.;May;1993;Action;20844907;42445058
Guilty as Sin;June;1993;Thriller/Suspense;22622537;46064723
The Program;September;1993;Action;23042200;46919256
The Adventures of Huck Finn;April;1993;Adventure;24103594;49080505
Son in Law;July;1993;Comedy;25989889;52921433
My Boyfriend's Back;August;1993;;3218882;6554384
Father Hood;August;1993;;3268203;6654819
The Joy Luck Club;September;1993;Drama;32790064;66768171
Alive;January ;1993;Adventure;36299670;73914543
What's Love Got to Do With It;June;1993;Drama;39100956;79618610
Hocus Pocus;July;1993;Comedy;39360491;80147079
Bound by Honor;April;1993;;4496583;9156084
Homeward Bound: The Incredible Journey;February;1993;Adventure;41833324;85182343
The Cemetery Club;February;1993;Comedy;5583621;11369541
Swing Kids;March;1993;Musical;5632086;11468231
The Nightmare Before Christmas;October;1993;Musical;50408318;100026637
The Three Musketeers;November;1993;Adventure;53661805;109310377
Tombstone;December;1993;Western;56505065;115781734
Sister Act 2 Back in the Habit;December;1993;Comedy;57319029;116965668
Cool Runnings;October;1993;Comedy;68856263;140392731
Aspen Extreme;January ;1993;Romantic Comedy;7843388;15970955
It's Pat;August;1994;Comedy;60822;125666
